Going to read training images
Now going to read 0 files (Index: 0)
Now going to read 1 files (Index: 1)
Now going to read 2 files (Index: 2)
Complete reading input data. Will Now print a snippet of it
Number of files in Training-set:		371
Number of files in Validation-set:	92
Training Epoch 1, Training Accuracy:  25.0%, Validation Accuracy:  43.8%,  Validation Loss: 1.179
Training Epoch 2, Training Accuracy:  31.2%, Validation Accuracy:  25.0%,  Validation Loss: 1.141
Training Epoch 3, Training Accuracy:  43.8%, Validation Accuracy:  18.8%,  Validation Loss: 1.173
Training Epoch 4, Training Accuracy:  43.8%, Validation Accuracy:  37.5%,  Validation Loss: 1.107
Training Epoch 5, Training Accuracy:  43.8%, Validation Accuracy:  37.5%,  Validation Loss: 1.095
Training Epoch 6, Training Accuracy:  43.8%, Validation Accuracy:  25.0%,  Validation Loss: 1.119
Training Epoch 7, Training Accuracy:  43.8%, Validation Accuracy:  25.0%,  Validation Loss: 1.116
Training Epoch 8, Training Accuracy:  43.8%, Validation Accuracy:  18.8%,  Validation Loss: 1.115
Training Epoch 9, Training Accuracy:  43.8%, Validation Accuracy:  37.5%,  Validation Loss: 1.065
Training Epoch 10, Training Accuracy:  43.8%, Validation Accuracy:  37.5%,  Validation Loss: 1.070
Training Epoch 11, Training Accuracy:  43.8%, Validation Accuracy:  25.0%,  Validation Loss: 1.115
Training Epoch 12, Training Accuracy:  43.8%, Validation Accuracy:  25.0%,  Validation Loss: 1.112
Training Epoch 13, Training Accuracy:  43.8%, Validation Accuracy:  18.8%,  Validation Loss: 1.103
Training Epoch 14, Training Accuracy:  43.8%, Validation Accuracy:  37.5%,  Validation Loss: 1.053
Training Epoch 15, Training Accuracy:  43.8%, Validation Accuracy:  37.5%,  Validation Loss: 1.060
Training Epoch 16, Training Accuracy:  43.8%, Validation Accuracy:  25.0%,  Validation Loss: 1.111
Training Epoch 17, Training Accuracy:  43.8%, Validation Accuracy:  25.0%,  Validation Loss: 1.108
Training Epoch 18, Training Accuracy:  43.8%, Validation Accuracy:  18.8%,  Validation Loss: 1.097
Training Epoch 19, Training Accuracy:  43.8%, Validation Accuracy:  37.5%,  Validation Loss: 1.046
Training Epoch 20, Training Accuracy:  43.8%, Validation Accuracy:  37.5%,  Validation Loss: 1.053
Training Epoch 21, Training Accuracy:  43.8%, Validation Accuracy:  25.0%,  Validation Loss: 1.106
Training Epoch 22, Training Accuracy:  43.8%, Validation Accuracy:  25.0%,  Validation Loss: 1.103
Training Epoch 23, Training Accuracy:  43.8%, Validation Accuracy:  25.0%,  Validation Loss: 1.092
Training Epoch 24, Training Accuracy:  43.8%, Validation Accuracy:  43.8%,  Validation Loss: 1.041
Training Epoch 25, Training Accuracy:  43.8%, Validation Accuracy:  43.8%,  Validation Loss: 1.046
Training Epoch 26, Training Accuracy:  43.8%, Validation Accuracy:  25.0%,  Validation Loss: 1.101
Training Epoch 27, Training Accuracy:  43.8%, Validation Accuracy:  25.0%,  Validation Loss: 1.098
Training Epoch 28, Training Accuracy:  43.8%, Validation Accuracy:  25.0%,  Validation Loss: 1.087
Training Epoch 29, Training Accuracy:  43.8%, Validation Accuracy:  43.8%,  Validation Loss: 1.034
Training Epoch 30, Training Accuracy:  43.8%, Validation Accuracy:  50.0%,  Validation Loss: 1.038
