Going to read training images
Now going to read 0 files (Index: 0)
Now going to read 1 files (Index: 1)
Now going to read 2 files (Index: 2)
Complete reading input data. Will Now print a snippet of it
Number of files in Training-set:		371
Number of files in Validation-set:	92
Training Epoch 1, Training Accuracy:  34.4%, Validation Accuracy:  21.9%,  Validation Loss: 1.116
Training Epoch 2, Training Accuracy:  34.4%, Validation Accuracy:  31.2%,  Validation Loss: 1.103
Training Epoch 3, Training Accuracy:  34.4%, Validation Accuracy:  21.9%,  Validation Loss: 1.120
Training Epoch 4, Training Accuracy:  34.4%, Validation Accuracy:  31.2%,  Validation Loss: 1.104
Training Epoch 5, Training Accuracy:  34.4%, Validation Accuracy:  21.9%,  Validation Loss: 1.123
Training Epoch 6, Training Accuracy:  34.4%, Validation Accuracy:  31.2%,  Validation Loss: 1.104
Training Epoch 7, Training Accuracy:  34.4%, Validation Accuracy:  21.9%,  Validation Loss: 1.125
Training Epoch 8, Training Accuracy:  34.4%, Validation Accuracy:  31.2%,  Validation Loss: 1.104
Training Epoch 9, Training Accuracy:  34.4%, Validation Accuracy:  21.9%,  Validation Loss: 1.126
Training Epoch 10, Training Accuracy:  34.4%, Validation Accuracy:  31.2%,  Validation Loss: 1.104
Training Epoch 11, Training Accuracy:  34.4%, Validation Accuracy:  21.9%,  Validation Loss: 1.127
Training Epoch 12, Training Accuracy:  34.4%, Validation Accuracy:  31.2%,  Validation Loss: 1.104
Training Epoch 13, Training Accuracy:  34.4%, Validation Accuracy:  21.9%,  Validation Loss: 1.128
Training Epoch 14, Training Accuracy:  34.4%, Validation Accuracy:  31.2%,  Validation Loss: 1.104
Training Epoch 15, Training Accuracy:  34.4%, Validation Accuracy:  21.9%,  Validation Loss: 1.128
Training Epoch 16, Training Accuracy:  34.4%, Validation Accuracy:  31.2%,  Validation Loss: 1.104
Training Epoch 17, Training Accuracy:  34.4%, Validation Accuracy:  21.9%,  Validation Loss: 1.129
Training Epoch 18, Training Accuracy:  34.4%, Validation Accuracy:  31.2%,  Validation Loss: 1.103
Training Epoch 19, Training Accuracy:  34.4%, Validation Accuracy:  21.9%,  Validation Loss: 1.129
Training Epoch 20, Training Accuracy:  34.4%, Validation Accuracy:  31.2%,  Validation Loss: 1.103
Training Epoch 21, Training Accuracy:  34.4%, Validation Accuracy:  21.9%,  Validation Loss: 1.129
Training Epoch 22, Training Accuracy:  34.4%, Validation Accuracy:  31.2%,  Validation Loss: 1.102
Training Epoch 23, Training Accuracy:  34.4%, Validation Accuracy:  21.9%,  Validation Loss: 1.128
Training Epoch 24, Training Accuracy:  34.4%, Validation Accuracy:  31.2%,  Validation Loss: 1.101
Training Epoch 25, Training Accuracy:  34.4%, Validation Accuracy:  21.9%,  Validation Loss: 1.128
Training Epoch 26, Training Accuracy:  34.4%, Validation Accuracy:  31.2%,  Validation Loss: 1.101
Training Epoch 27, Training Accuracy:  34.4%, Validation Accuracy:  21.9%,  Validation Loss: 1.127
Training Epoch 28, Training Accuracy:  34.4%, Validation Accuracy:  31.2%,  Validation Loss: 1.100
Training Epoch 29, Training Accuracy:  34.4%, Validation Accuracy:  21.9%,  Validation Loss: 1.127
Training Epoch 30, Training Accuracy:  34.4%, Validation Accuracy:  31.2%,  Validation Loss: 1.099
Training Epoch 31, Training Accuracy:  34.4%, Validation Accuracy:  21.9%,  Validation Loss: 1.126
Training Epoch 32, Training Accuracy:  34.4%, Validation Accuracy:  31.2%,  Validation Loss: 1.098
Training Epoch 33, Training Accuracy:  34.4%, Validation Accuracy:  21.9%,  Validation Loss: 1.125
