Going to read training images
Now going to read 0 files (Index: 0)
Now going to read 1 files (Index: 1)
Now going to read 2 files (Index: 2)
Complete reading input data. Will Now print a snippet of it
Number of files in Training-set:		371
Number of files in Validation-set:	92
Training Epoch 1, Training Accuracy:  34.4%, Validation Accuracy:  21.9%,  Validation Loss: 1.920
Training Epoch 2, Training Accuracy:  34.4%, Validation Accuracy:  31.2%,  Validation Loss: 1.145
Training Epoch 3, Training Accuracy:  34.4%, Validation Accuracy:  28.1%,  Validation Loss: 1.087
Training Epoch 4, Training Accuracy:  34.4%, Validation Accuracy:  34.4%,  Validation Loss: 1.089
Training Epoch 5, Training Accuracy:  43.8%, Validation Accuracy:  31.2%,  Validation Loss: 1.066
Training Epoch 6, Training Accuracy:  43.8%, Validation Accuracy:  34.4%,  Validation Loss: 1.075
Training Epoch 7, Training Accuracy:  46.9%, Validation Accuracy:  37.5%,  Validation Loss: 1.056
Training Epoch 8, Training Accuracy:  46.9%, Validation Accuracy:  34.4%,  Validation Loss: 1.064
Training Epoch 9, Training Accuracy:  46.9%, Validation Accuracy:  43.8%,  Validation Loss: 1.048
Training Epoch 10, Training Accuracy:  46.9%, Validation Accuracy:  37.5%,  Validation Loss: 1.054
Training Epoch 11, Training Accuracy:  46.9%, Validation Accuracy:  43.8%,  Validation Loss: 1.041
Training Epoch 12, Training Accuracy:  50.0%, Validation Accuracy:  37.5%,  Validation Loss: 1.044
Training Epoch 13, Training Accuracy:  50.0%, Validation Accuracy:  43.8%,  Validation Loss: 1.034
Training Epoch 14, Training Accuracy:  50.0%, Validation Accuracy:  46.9%,  Validation Loss: 1.036
Training Epoch 15, Training Accuracy:  56.2%, Validation Accuracy:  46.9%,  Validation Loss: 1.027
Training Epoch 16, Training Accuracy:  56.2%, Validation Accuracy:  50.0%,  Validation Loss: 1.027
Training Epoch 17, Training Accuracy:  59.4%, Validation Accuracy:  46.9%,  Validation Loss: 1.022
Training Epoch 18, Training Accuracy:  59.4%, Validation Accuracy:  53.1%,  Validation Loss: 1.018
Training Epoch 19, Training Accuracy:  59.4%, Validation Accuracy:  46.9%,  Validation Loss: 1.016
Training Epoch 20, Training Accuracy:  59.4%, Validation Accuracy:  53.1%,  Validation Loss: 1.010
Training Epoch 21, Training Accuracy:  59.4%, Validation Accuracy:  46.9%,  Validation Loss: 1.009
Training Epoch 22, Training Accuracy:  59.4%, Validation Accuracy:  53.1%,  Validation Loss: 1.003
Training Epoch 23, Training Accuracy:  59.4%, Validation Accuracy:  46.9%,  Validation Loss: 1.004
Training Epoch 24, Training Accuracy:  59.4%, Validation Accuracy:  56.2%,  Validation Loss: 0.997
Training Epoch 25, Training Accuracy:  59.4%, Validation Accuracy:  46.9%,  Validation Loss: 0.998
Training Epoch 26, Training Accuracy:  56.2%, Validation Accuracy:  59.4%,  Validation Loss: 0.990
Training Epoch 27, Training Accuracy:  56.2%, Validation Accuracy:  46.9%,  Validation Loss: 0.994
Training Epoch 28, Training Accuracy:  56.2%, Validation Accuracy:  59.4%,  Validation Loss: 0.984
Training Epoch 29, Training Accuracy:  56.2%, Validation Accuracy:  46.9%,  Validation Loss: 0.989
Training Epoch 30, Training Accuracy:  56.2%, Validation Accuracy:  59.4%,  Validation Loss: 0.978
Training Epoch 31, Training Accuracy:  56.2%, Validation Accuracy:  46.9%,  Validation Loss: 0.985
Training Epoch 32, Training Accuracy:  56.2%, Validation Accuracy:  59.4%,  Validation Loss: 0.972
Training Epoch 33, Training Accuracy:  56.2%, Validation Accuracy:  46.9%,  Validation Loss: 0.981
Training Epoch 34, Training Accuracy:  56.2%, Validation Accuracy:  62.5%,  Validation Loss: 0.966
Training Epoch 35, Training Accuracy:  56.2%, Validation Accuracy:  46.9%,  Validation Loss: 0.977
Training Epoch 36, Training Accuracy:  56.2%, Validation Accuracy:  62.5%,  Validation Loss: 0.961
Training Epoch 37, Training Accuracy:  56.2%, Validation Accuracy:  50.0%,  Validation Loss: 0.972
